EAN;Sales;Size;SoldPrice;BoughtPrice;ItemGroupName
92504514;4;3XS;25;21;Top
17130140;0;36W/34L;67;57,62;Pants
20466176;1;28W/30L;49;36,75;Pants
49461268;1;25-30;10;7,5;Socks
75303460;7;36W/34L;67;51,59;Pants
39396776;8;36C;69;53,13;Bra
93130180;1;28W/30L;82;64,78;Pants
56010158;8;32BB;63;51,66;Bra
67063788;3;25-30;8;7,12;Socks
94620210;7;XL;21;15,33;Top
85696766;7;One Size;14;10,78;Socks
67063788;7;25-30;8;7,12;Socks
86877334;8;32A;67;47,57;Bra
51675931;1;32C;64;51,2;Bra
36027784;9;28W/30L;108;93,96;Pants
15012921;4;M;43;32,68;Top
94337852;6;36DD;48;35,52;Bra
23181573;4;XXS;70;58,8;Top
56838610;5;32BB;48;40,8;Bra
95071811;4;30W/32L;102;80,58;Pants
12547035;8;One Size;11;9,24;Socks
20580459;6;One Size;5;3,8;Socks
36424756;2;32BB;61;45,75;Bra
78462985;0;32A;51;44,37;Bra
36424756;2;32BB;61;45,75;Bra
67913743;5;25-30;7;5,46;Socks
68508677;5;36D;44;31,24;Bra
94620210;3;XL;21;15,33;Top
81150503;1;One Size;7;5,46;Socks
52091023;3;30-36;6;4,86;Socks
98559854;0;34W/34L;43;30,1;Pants
39396776;5;36C;69;53,13;Bra
80848611;0;34W/34L;108;75,6;Pants
81885713;5;32W/32L;64;53,76;Pants
88120533;5;36C;41;35,26;Bra
78462985;9;32A;51;44,37;Bra
88547337;3;32A;37;27,01;Bra
89984241;8;30-36;5;3,6;Socks
47634677;4;36C;67;50,25;Bra
39636382;6;2XL;64;53,12;Top
94337852;7;36DD;48;35,52;Bra
36050933;2;3XS;62;55,18;Top
87344664;8;25-30;12;8,76;Socks
47135045;0;M;50;42;Top
59866400;3;25-30;9;6,75;Socks
51676376;9;XL;79;63,2;Top
65102804;1;X242S;72;59,76;Top
31258423;2;25-30;8;6,8;Socks
83359696;4;32W/32L;109;76,3;Pants
48088795;1;36W/34L;76;56,24;Pants
17357723;3;32C;30;23,7;Bra
21277357;3;25-30;9;7,2;Socks
35679700;3;28W/30L;72;61,92;Pants
20028381;9;XL;43;35,69;Top
40792150;7;36C;37;32,56;Bra
97102674;4;36W/34L;95;67,45;Pants
24144114;6;30-36;7;4,9;Socks
97584311;8;36D;55;43,45;Bra
98077344;6;32C;38;26,6;Bra
56010158;8;32BB;63;51,66;Bra
16747010;8;36W/34L;83;73,04;Pants
28419371;6;S;26;18,46;Top
85899027;7;36D;38;26,6;Bra
67785212;8;30-36;10;7,3;Socks
60729314;3;32C;33;23,1;Bra
13836303;5;32C;31;23,56;Bra
37440646;5;36D;44;30,8;Bra
68689815;3;36DD;46;35,42;Bra
74344301;7;30W/32L;110;93,5;Pants
48167369;2;32BB;48;42,72;Bra
41168008;1;25-30;10;7,8;Socks
47935744;8;One Size;5;4,05;Socks
97102674;3;36W/34L;95;67,45;Pants
50059842;4;L;40;34,4;Top
43821110;6;3XL;66;48,84;Top
37440646;7;36D;44;30,8;Bra
80276130;8;25-30;7;5,88;Socks
97102674;6;36W/34L;95;67,45;Pants
68508677;7;36D;44;31,24;Bra
22537589;8;L;43;33,11;Top
21269595;6;36DD;49;34,79;Bra
42907883;8;30-36;11;9,46;Socks
58744201;2;32C;45;34,2;Bra
36792183;0;2XL;52;37,44;Top
39639736;6;36DD;46;39,56;Bra
55941502;6;3XS;25;20,5;Top
87748663;1;One Size;10;7,2;Socks
24455418;6;X242S;23;16,79;Top
30948315;1;3XL;66;52,8;Top
89674512;7;M;70;51,1;Top
56372134;3;One Size;14;11,76;Socks
40792150;7;36C;37;32,56;Bra
