EAN,Sales,Size,SoldPrice,BoughtPrice,ItemGroupName
95675765,1,L,31,26,35,Top
77354484,7,2XS,35,30,1,Top
78878958,1,32W/32L,51,36,72,Pants
78220526,3,30W/32L,77,59,29,Pants
95675765,9,L,31,26,35,Top
35347959,1,34W/34L,50,40,5,Pants
62238080,0,S,38,27,36,Top
20417844,8,32B,62,51,46,Bra
98205796,7,25-30,6,4,26,Socks
76486556,5,36C,49,39,69,Bra
96825175,4,30W/32L,52,37,96,Pants
60997676,2,36W/34L,86,68,8,Pants
85314026,5,30-36,13,10,01,Socks
93498300,3,30-36,5,3,5,Socks
96882371,9,36D,58,48,14,Bra
94634614,9,25-30,12,8,4,Socks
49874414,6,28W/30L,96,76,8,Pants
99636463,9,XL,30,24,9,Top
11377782,9,30W/32L,78,55,38,Pants
52012304,9,30-36,6,5,16,Socks
40897212,3,34W/34L,63,54,81,Pants
40271090,6,32W/32L,46,36,8,Pants
14795153,9,34W/34L,118,90,86,Pants
89663991,2,30-36,5,3,7,Socks
34154636,3,L,70,50,4,Top
62238080,7,S,38,27,36,Top
22688038,0,25-30,8,7,04,Socks
22529951,7,36W/34L,81,72,09,Pants
72218713,6,30-36,7,5,11,Socks
21781579,9,32C,45,37,8,Bra
21781579,2,32C,45,37,8,Bra
15053519,0,3XL,34,26,86,Top
49563928,2,36D,69,57,27,Bra
82362131,7,S,53,41,34,Top
26074186,8,28W/30L,87,66,12,Pants
30057452,1,One Size,13,9,49,Socks
65751040,9,32C,30,22,8,Bra
79287314,4,XL,39,32,37,Top
99703954,0,32A,33,26,73,Bra
83420789,7,25-30,7,6,09,Socks
78576090,0,32A,33,27,72,Bra
93419668,6,25-30,10,7,3,Socks
19883231,7,3XS,73,52,56,Top
21064376,1,32A,34,28,56,Bra
62171578,0,XXS,71,55,38,Top
59729655,2,25-30,10,8,2,Socks
71216187,5,One Size,5,4,35,Socks
45151546,2,30W/32L,47,34,31,Pants
83369023,6,32C,34,25,5,Bra
22529951,1,36W/34L,81,72,09,Pants
63096181,9,32W/32L,106,90,1,Pants
76141706,2,36C,55,38,5,Bra
57743035,0,25-30,9,7,02,Socks
60015955,9,28W/30L,51,36,72,Pants
50915857,7,32A,57,49,02,Bra
45151546,3,30W/32L,47,34,31,Pants
73489300,6,30-36,9,7,56,Socks
62229698,0,30-36,7,5,88,Socks
58257039,8,36DD,31,23,25,Bra
60997676,5,36W/34L,86,68,8,Pants
17252051,5,32A,34,28,9,Bra
81759114,8,36D,51,37,23,Bra
56930409,2,32A,37,31,82,Bra
42205716,5,2XL,31,23,25,Top
55081920,0,32C,41,34,85,Bra
89091287,3,30-36,9,6,84,Socks
68663069,5,30-36,5,4,05,Socks
47676789,4,36W/34L,104,91,52,Pants
70641969,8,28W/30L,60,52,2,Pants
82618717,5,28W/30L,42,31,92,Pants
50915857,5,32A,57,49,02,Bra
28624594,7,30W/32L,68,55,08,Pants
93498300,4,30-36,5,3,5,Socks
21064376,1,32A,34,28,56,Bra
71216187,8,One Size,5,4,35,Socks
81759114,6,36D,51,37,23,Bra
18803757,1,28W/30L,90,69,3,Pants
63953794,1,XL,50,39,Top
86701656,3,28W/30L,108,77,76,Pants
45151546,9,30W/32L,47,34,31,Pants
78924629,5,36C,35,30,1,Bra
35837318,9,2XL,66,48,84,Top
45151546,8,30W/32L,47,34,31,Pants
99915579,6,32A,50,35,Bra
19009398,3,2XS,50,41,Top
68932616,3,36W/34L,88,77,44,Pants
11276472,3,36W/34L,72,59,04,Pants
78393615,5,25-30,7,5,88,Socks
68421223,3,32W/32L,83,70,55,Pants
44844856,6,M,55,47,3,Top
99636463,5,XL,30,24,9,Top
52012304,4,30-36,6,5,16,Socks
70367927,4,25-30,7,5,53,Socks
30262545,2,32W/32L,76,61,56,Pants
18769637,9,30-36,7,5,18,Socks
70549584,2,XL,79,56,09,Top
15053519,6,3XL,34,26,86,Top
98853164,4,32BB,40,32,Bra
60744968,4,2XL,68,51,68,Top
50152870,5,36D,66,51,48,Bra
63861141,2,25-30,5,4,2,Socks
76486556,1,36C,49,39,69,Bra
62229698,4,30-36,7,5,88,Socks
18277392,5,30-36,10,7,6,Socks
