EAN;Sales;Size;SoldPrice;BoughtPrice;ItemGroupName
94555435;1;36D;53;45,58;Bra
70548018;6;36W/34L;62;45,26;Pants
90155048;2;32W/32L;103;83,43;Pants
56326945;8;32B;48;42,24;Bra
22373913;8;S;70;59,5;Top
23443976;3;32W/32L;53;39,75;Pants
53297050;0;2XS;73;52,56;Top
94555435;9;36D;53;45,58;Bra
30359050;5;25-30;14;11,2;Socks
26526512;6;25-30;11;9,79;Socks
76863621;6;One Size;6;4,68;Socks
62629207;0;S;67;54,27;Top
67291215;6;32W/32L;101;89,89;Pants
14232187;2;XXS;59;51,92;Top
39058448;1;32BB;59;50,74;Bra
84604333;4;2XL;68;57,12;Top
66141061;3;2XL;43;30,1;Top
63564268;0;32A;64;45,44;Bra
30325861;2;L;22;17,38;Top
47095460;9;2XL;26;18,2;Top
40535324;4;25-30;8;6,4;Socks
97330723;5;36C;32;28,16;Bra
13313567;6;32BB;59;45,43;Bra
65389352;0;One Size;9;7,38;Socks
30359050;5;25-30;14;11,2;Socks
86532013;1;One Size;11;8,47;Socks
77417214;4;30W/32L;80;56;Pants
43290697;5;S;67;47,57;Top
54470290;4;X242S;52;38,48;Top
94845186;1;36W/34L;113;83,62;Pants
14232187;9;XXS;59;51,92;Top
84600208;0;32W/32L;108;93,96;Pants
46069959;0;36DD;32;27,2;Bra
97330723;6;36C;32;28,16;Bra
93265523;6;32W/32L;65;57,85;Pants
76037179;2;M;68;55,08;Top
11166778;1;M;40;30,8;Top
54470290;4;X242S;52;38,48;Top
76406634;0;36D;68;50,32;Bra
48437973;0;36DD;58;44,66;Bra
11445225;2;36DD;59;50,15;Bra
65751997;8;X242S;25;20;Top
40278562;3;One Size;14;11,2;Socks
45145098;1;36C;67;55,61;Bra
52840514;9;32BB;48;40,8;Bra
85880266;3;One Size;12;8,88;Socks
44499116;5;32W/32L;52;37,44;Pants
48208751;5;25-30;10;8,9;Socks
48514713;5;36DD;58;41,18;Bra
55414087;0;30-36;8;7,04;Socks
42276662;4;32C;53;46,11;Bra
64106892;2;2XS;69;53,82;Top
92154358;4;34W/34L;106;92,22;Pants
54484900;9;One Size;7;6,23;Socks
83301427;6;One Size;6;4,44;Socks
44201276;5;36D;38;31,92;Bra
41361032;2;One Size;6;4,38;Socks
62086631;3;32BB;54;42,66;Bra
79500861;6;32A;57;39,9;Bra
52180121;0;One Size;12;8,88;Socks
70753885;9;36DD;61;50,02;Bra
50343411;0;25-30;7;5,25;Socks
79408685;7;28W/30L;59;41,3;Pants
54707915;9;X242S;37;28,86;Top
79408685;6;28W/30L;59;41,3;Pants
16957637;4;30W/32L;113;91,53;Pants
54933773;7;28W/30L;73;55,48;Pants
43290697;0;S;67;47,57;Top
44499116;4;32W/32L;52;37,44;Pants
33070185;9;XL;74;58,46;Top
91831460;3;2XS;58;40,6;Top
14232187;6;XXS;59;51,92;Top
34211310;5;X242S;33;23,43;Top
48781089;0;32B;48;34,56;Bra
85880266;8;One Size;12;8,88;Socks
95925227;4;XL;68;54,4;Top
17372102;3;30W/32L;66;57,42;Pants
24909717;7;XXS;69;55,89;Top
37358727;9;One Size;14;12,04;Socks
25239101;7;32W/32L;65;45,5;Pants
92355026;1;25-30;14;9,94;Socks
68977565;9;S;40;28;Top
84604333;8;2XL;68;57,12;Top
98588822;9;30W/32L;75;66,75;Pants
21785277;3;32A;36;25,56;Bra
60866191;6;32BB;36;29,52;Bra
73180517;5;S;38;28,12;Top
30848175;9;30-36;10;7,4;Socks
85439784;5;28W/30L;94;78,02;Pants
14942177;3;34W/34L;75;53,25;Pants
14952238;8;One Size;5;3,75;Socks
42614786;3;3XS;46;39,56;Top
30848175;4;30-36;10;7,4;Socks
33981122;4;One Size;14;9,94;Socks
67293227;1;3XL;66;56,1;Top
73695022;7;25-30;8;6;Socks
12377568;6;XXS;50;42,5;Top
30848175;8;30-36;10;7,4;Socks
13531298;3;32A;62;55,18;Bra
54470290;3;X242S;52;38,48;Top
85939103;4;30-36;10;8,1;Socks
17629964;6;36W/34L;109;88,29;Pants
52548839;9;36C;37;27,75;Bra
12935554;1;M;76;61,56;Top
23443976;5;32W/32L;53;39,75;Pants
58841540;0;28W/30L;69;52,44;Pants
21071582;9;30-36;9;6,48;Socks
27708443;6;One Size;13;10,14;Socks
49738211;3;S;24;17,76;Top
65389352;9;One Size;9;7,38;Socks
90782199;7;32W/32L;57;44,46;Pants
53297050;8;2XS;73;52,56;Top
41138920;9;32B;47;38,07;Bra
67291215;4;32W/32L;101;89,89;Pants
70753885;9;36DD;61;50,02;Bra
92176171;0;M;67;59,63;Top
55414087;1;30-36;8;7,04;Socks
94449894;9;30W/32L;100;79;Pants
30398793;8;36DD;34;25,16;Bra
29689273;6;25-30;14;12,04;Socks
22379658;0;One Size;14;11,9;Socks
16945429;9;3XL;30;22,2;Top
16957637;8;30W/32L;113;91,53;Pants
72604356;0;25-30;6;4,32;Socks
81236120;8;One Size;13;9,75;Socks
52963278;5;36W/34L;74;55,5;Pants
92355026;9;25-30;14;9,94;Socks
50643309;9;2XL;74;52,54;Top
21071582;4;30-36;9;6,48;Socks
12377568;8;XXS;50;42,5;Top
23223179;9;3XL;75;54,75;Top
73223648;9;30-36;6;4,98;Socks
38521515;5;32W/32L;70;53,2;Pants
60106565;8;One Size;9;7,47;Socks
90155048;3;32W/32L;103;83,43;Pants
83301427;2;One Size;6;4,44;Socks
12377568;7;XXS;50;42,5;Top
45145098;6;36C;67;55,61;Bra
39058448;9;32BB;59;50,74;Bra
83832739;8;25-30;14;10,64;Socks
56326945;2;32B;48;42,24;Bra
76406634;2;36D;68;50,32;Bra
14942177;5;34W/34L;75;53,25;Pants
20152947;8;3XL;22;16,5;Top
88656694;4;S;30;24,3;Top
14690239;6;36DD;55;45,1;Bra
30398793;5;36DD;34;25,16;Bra
83627565;4;32C;30;25,2;Bra
77847173;2;3XL;26;21,32;Top
92505950;5;36DD;61;46,97;Bra
48781089;3;32B;48;34,56;Bra
62681678;4;2XS;79;68,73;Top
40527196;1;3XS;25;22;Top
52180121;3;One Size;12;8,88;Socks
36178624;8;28W/30L;108;96,12;Pants
24909717;8;XXS;69;55,89;Top
48781089;0;32B;48;34,56;Bra
77417214;7;30W/32L;80;56;Pants
30540100;0;32B;59;43,07;Bra
37344788;3;3XL;74;65,86;Top
45145098;8;36C;67;55,61;Bra
54470290;8;X242S;52;38,48;Top
27964160;7;36W/34L;67;49,58;Pants
23070304;1;30-36;9;6,39;Socks
86532013;9;One Size;11;8,47;Socks
71032979;7;32W/32L;50;39,5;Pants
71851674;6;One Size;14;11,06;Socks
25554071;3;28W/30L;45;40,05;Pants
13520008;5;34W/34L;69;55,89;Pants
14764123;4;3XL;50;42,5;Top
35992557;3;36W/34L;112;85,12;Pants
12377568;3;XXS;50;42,5;Top
50969948;6;32W/32L;117;94,77;Pants
30815405;4;3XS;59;43,66;Top
92176171;9;M;67;59,63;Top
71365318;3;One Size;13;10,92;Socks
94845186;8;36W/34L;113;83,62;Pants
84604333;5;2XL;68;57,12;Top
41513826;9;32B;32;26,88;Bra
40278562;5;One Size;14;11,2;Socks
22379658;1;One Size;14;11,9;Socks
50117798;5;One Size;12;9;Socks
42214269;1;30-36;7;5,11;Socks
17768982;3;2XL;20;17,2;Top
83011317;7;30W/32L;73;57,67;Pants
26526512;0;25-30;11;9,79;Socks
11043900;1;36W/34L;58;44,66;Pants
38421456;1;3XL;20;15,8;Top
52963278;1;36W/34L;74;55,5;Pants
82798623;9;34W/34L;99;84,15;Pants
48914291;0;32W/32L;80;64,8;Pants
13313567;9;32BB;59;45,43;Bra
72358060;9;30W/32L;109;94,83;Pants
26415011;9;32C;37;27,75;Bra
93980601;6;XL;36;25,2;Top
25239101;1;32W/32L;65;45,5;Pants
36178624;6;28W/30L;108;96,12;Pants
46460699;9;34W/34L;49;42,14;Pants
36226013;6;3XS;71;57,51;Top
48414787;3;32B;66;53,46;Bra
29423508;9;25-30;11;9,35;Socks
37894232;0;32W/32L;40;31,2;Pants
53297050;3;2XS;73;52,56;Top
65389352;6;One Size;9;7,38;Socks
31192834;8;3XL;38;32,68;Top
86657963;1;One Size;7;6,02;Socks
82091993;4;30W/32L;66;51,48;Pants
41710348;8;30-36;10;8,3;Socks
76610344;3;28W/30L;44;36,52;Pants
76268236;5;One Size;5;3,8;Socks
29423508;6;25-30;11;9,35;Socks
37358727;6;One Size;14;12,04;Socks
24878415;2;34W/34L;75;58,5;Pants
82798623;1;34W/34L;99;84,15;Pants
33170046;5;S;55;42,35;Top
78390862;5;One Size;5;3,9;Socks
11166778;5;M;40;30,8;Top
34211310;7;X242S;33;23,43;Top
42214269;8;30-36;7;5,11;Socks
73223648;7;30-36;6;4,98;Socks
85939103;4;30-36;10;8,1;Socks
24909717;1;XXS;69;55,89;Top
14232187;3;XXS;59;51,92;Top
58131802;8;36D;38;27,74;Bra
17768982;6;2XL;20;17,2;Top
21999501;4;36DD;60;42;Bra
40278562;1;One Size;14;11,2;Socks
86657963;8;One Size;7;6,02;Socks
30815405;2;3XS;59;43,66;Top
54470290;9;X242S;52;38,48;Top
22379658;7;One Size;14;11,9;Socks
77175050;5;36D;30;22,2;Bra
84031015;0;36DD;64;47,36;Bra
67163030;0;36D;41;32,8;Bra
96826174;5;34W/34L;75;64,5;Pants
92154358;1;34W/34L;106;92,22;Pants
37344788;4;3XL;74;65,86;Top
43290697;9;S;67;47,57;Top
30848175;4;30-36;10;7,4;Socks
14232187;3;XXS;59;51,92;Top
13318013;0;36W/34L;77;57,75;Pants
30398793;6;36DD;34;25,16;Bra
40535324;9;25-30;8;6,4;Socks
13313567;7;32BB;59;45,43;Bra
67291215;1;32W/32L;101;89,89;Pants
48914291;9;32W/32L;80;64,8;Pants
65389352;5;One Size;9;7,38;Socks
26415011;3;32C;37;27,75;Bra
75604316;0;M;47;33,84;Top
93980601;7;XL;36;25,2;Top
59696674;3;30W/32L;107;92,02;Pants
73695022;7;25-30;8;6;Socks
98588822;9;30W/32L;75;66,75;Pants
17202106;8;30-36;9;6,48;Socks
52399792;2;36D;56;49,28;Bra
79500861;0;32A;57;39,9;Bra
11043900;6;36W/34L;58;44,66;Pants
41361032;0;One Size;6;4,38;Socks
86532013;7;One Size;11;8,47;Socks
50343411;0;25-30;7;5,25;Socks
60866191;8;32BB;36;29,52;Bra
95652558;2;36C;65;57,2;Bra
88656694;0;S;30;24,3;Top
92017888;8;One Size;10;7,6;Socks
99538917;7;One Size;6;4,86;Socks
90782199;0;32W/32L;57;44,46;Pants
43290697;0;S;67;47,57;Top
28221547;0;34W/34L;68;48,96;Pants
73223648;8;30-36;6;4,98;Socks
25554071;2;28W/30L;45;40,05;Pants
66929889;4;36DD;65;51,35;Bra
24909717;4;XXS;69;55,89;Top
37894232;7;32W/32L;40;31,2;Pants
22041857;7;L;67;55,61;Top
94449894;6;30W/32L;100;79;Pants
33170046;0;S;55;42,35;Top
46976745;0;36C;35;30,1;Bra
17768982;4;2XL;20;17,2;Top
48208751;1;25-30;10;8,9;Socks
13318013;0;36W/34L;77;57,75;Pants
92355026;8;25-30;14;9,94;Socks
72604356;5;25-30;6;4,32;Socks
49328405;9;32BB;41;28,7;Bra
98588822;8;30W/32L;75;66,75;Pants
84604333;9;2XL;68;57,12;Top
80132719;4;30-36;11;7,7;Socks
85939103;5;30-36;10;8,1;Socks
