EAN,Sales,Size,SoldPrice,BoughtPrice,ItemGroupName
55414087,5,30-36,8,7,04,Socks
50643309,3,2XL,74,52,54,Top
17768982,6,2XL,20,17,2,Top
96826174,8,34W/34L,75,64,5,Pants
93265523,2,32W/32L,65,57,85,Pants
31192834,5,3XL,38,32,68,Top
27964160,7,36W/34L,67,49,58,Pants
14764123,5,3XL,50,42,5,Top
30325861,0,L,22,17,38,Top
41710348,8,30-36,10,8,3,Socks
17202106,7,30-36,9,6,48,Socks
49328405,0,32BB,41,28,7,Bra
94449894,9,30W/32L,100,79,Pants
73398529,3,2XS,34,24,48,Top
14690239,2,36DD,55,45,1,Bra
54707915,6,X242S,37,28,86,Top
52399792,8,36D,56,49,28,Bra
62629207,6,S,67,54,27,Top
30815405,2,3XS,59,43,66,Top
30325861,4,L,22,17,38,Top
40078403,3,XXS,78,59,28,Top
27708443,1,One Size,13,10,14,Socks
15994553,7,30-36,14,12,46,Socks
41361032,3,One Size,6,4,38,Socks
22373913,3,S,70,59,5,Top
64106892,4,2XS,69,53,82,Top
53533721,7,36D,66,46,2,Bra
30815405,1,3XS,59,43,66,Top
30359050,0,25-30,14,11,2,Socks
62606390,0,30-36,11,8,91,Socks
68977565,3,S,40,28,Top
11166778,5,M,40,30,8,Top
33625783,0,30-36,13,10,92,Socks
45806395,6,36DD,37,32,56,Bra
20152947,6,3XL,22,16,5,Top
17760173,5,3XL,45,39,15,Top
46069959,0,36DD,32,27,2,Bra
82938436,1,28W/30L,113,96,05,Pants
99476360,6,25-30,14,11,62,Socks
17202106,8,30-36,9,6,48,Socks
34211310,1,X242S,33,23,43,Top
27708443,8,One Size,13,10,14,Socks
12935554,2,M,76,61,56,Top
59221648,6,32B,52,40,56,Bra
65389352,9,One Size,9,7,38,Socks
93980601,9,XL,36,25,2,Top
15994553,7,30-36,14,12,46,Socks
70548018,0,36W/34L,62,45,26,Pants
79408685,2,28W/30L,59,41,3,Pants
38767555,1,32A,52,40,56,Bra
14232187,9,XXS,59,51,92,Top
99538917,9,One Size,6,4,86,Socks
56326945,1,32B,48,42,24,Bra
30398793,2,36DD,34,25,16,Bra
48437973,7,36DD,58,44,66,Bra
84600208,5,32W/32L,108,93,96,Pants
83832739,6,25-30,14,10,64,Socks
83301427,4,One Size,6,4,44,Socks
76037179,9,M,68,55,08,Top
52399792,2,36D,56,49,28,Bra
93980601,3,XL,36,25,2,Top
17768982,5,2XL,20,17,2,Top
72604356,0,25-30,6,4,32,Socks
92017888,0,One Size,10,7,6,Socks
39058448,2,32BB,59,50,74,Bra
92154358,5,34W/34L,106,92,22,Pants
71365318,9,One Size,13,10,92,Socks
52963278,9,36W/34L,74,55,5,Pants
21785277,3,32A,36,25,56,Bra
16945429,4,3XL,30,22,2,Top
92355026,0,25-30,14,9,94,Socks
85880266,0,One Size,12,8,88,Socks
43889246,9,30-36,5,4,1,Socks
48781089,2,32B,48,34,56,Bra
73180517,2,S,38,28,12,Top
33170046,5,S,55,42,35,Top
73180517,8,S,38,28,12,Top
65021000,5,30-36,10,8,6,Socks
79500861,8,32A,57,39,9,Bra
47095460,2,2XL,26,18,2,Top
27964160,0,36W/34L,67,49,58,Pants
34211310,7,X242S,33,23,43,Top
94555435,8,36D,53,45,58,Bra
54707915,6,X242S,37,28,86,Top
50688180,6,32W/32L,98,86,24,Pants
28221547,7,34W/34L,68,48,96,Pants
44499116,7,32W/32L,52,37,44,Pants
36690229,3,XXS,53,37,63,Top
45806395,6,36DD,37,32,56,Bra
62681678,1,2XS,79,68,73,Top
48781089,4,32B,48,34,56,Bra
84031015,5,36DD,64,47,36,Bra
33981122,6,One Size,14,9,94,Socks
46976745,8,36C,35,30,1,Bra
58841540,1,28W/30L,69,52,44,Pants
88745694,8,36DD,56,48,72,Bra
48514713,6,36DD,58,41,18,Bra
46976745,7,36C,35,30,1,Bra
59221648,7,32B,52,40,56,Bra
16945429,2,3XL,30,22,2,Top
95652558,3,36C,65,57,2,Bra
50969948,8,32W/32L,117,94,77,Pants
95968591,3,2XS,68,52,36,Top
55414087,0,30-36,8,7,04,Socks
95652558,1,36C,65,57,2,Bra
41513826,1,32B,32,26,88,Bra
54484900,4,One Size,7,6,23,Socks
16945429,9,3XL,30,22,2,Top
30325861,3,L,22,17,38,Top
41710348,8,30-36,10,8,3,Socks
66876140,1,32C,33,28,71,Bra
83832739,1,25-30,14,10,64,Socks
74599895,6,XXS,39,33,54,Top
45439551,2,25-30,5,4,15,Socks
23443976,1,32W/32L,53,39,75,Pants
67291215,4,32W/32L,101,89,89,Pants
41710348,1,30-36,10,8,3,Socks
66876140,1,32C,33,28,71,Bra
