Category;EAN;Size;GrossProfit;SalesPrice;BoughtPrice;QuantitySold
Bra;21785277;32A;501,12;36;25,56;48
Bra;22872546;32A;95,04;36;31,68;22
Bra;79500861;32A;239,4;57;39,9;14
Bra;13531298;32A;75,02;62;55,18;11
Bra;38767555;32A;68,64;52;40,56;6
Bra;63564268;32A;37,12;64;45,44;2
Bra;41138920;32B;276,83;47;38,07;31
Bra;41513826;32B;143,36;32;26,88;28
Bra;48414787;32B;238,26;66;53,46;19
Bra;79949517;32B;139,84;32;24,64;19
Bra;56326945;32B;69,12;48;42,24;12
Bra;30540100;32B;191,16;59;43,07;12
Bra;48781089;32B;120,96;48;34,56;9
Bra;59221648;32B;57,20;52;40,56;5
Bra;60866191;32BB;239,76;36;29,52;37
Bra;39058448;32BB;289,10;59;50,74;35
Bra;62086631;32BB;396,90;54;42,66;35
Bra;49328405;32BB;369,0;41;28,7;30
Bra;13313567;32BB;298,54;59;45,43;22
Bra;52840514;32BB;144,0;48;40,8;20
Bra;26415011;32C;333,00;37;27,75;36
Bra;58075606;32C;262,08;39;28,08;24
Bra;83627565;32C;67,2;30;25,2;14
Bra;42276662;32C;55,12;53;46,11;8
Bra;52548839;36C;305,25;37;27,75;33
Bra;97330723;36C;107,52;32;28,16;28
Bra;45145098;36C;318,92;67;55,61;28
Bra;95652558;36C;124,8;65;57,2;16
Bra;46976745;36C;49,0;35;30,1;10
Bra;53533721;36D;851,4;66;46,2;43
Bra;76406634;36D;512,72;68;50,32;29
Bra;77175050;36D;179,4;30;22,2;23
Bra;94555435;36D;155,82;53;45,58;21
Bra;58131802;36D;194,94;38;27,74;19
Bra;52399792;36D;114,24;56;49,28;17
Bra;74481829;36D;113,05;35;28,35;17
Bra;44201276;36D;72,96;38;31,92;12
Bra;67163030;36D;90,2;41;32,8;11
Bra;30398793;36DD;397,80;34;25,16;45
Bra;11445225;36DD;354,00;59;50,15;40
Bra;70753885;36DD;428,22;61;50,02;39
Bra;48437973;36DD;493,58;58;44,66;37
Bra;48514713;36DD;403,68;58;41,18;24
Bra;46069959;36DD;91,2;32;27,2;19
Bra;21999501;36DD;288;60;42;16
Bra;88745694;36DD;116,48;56;48,72;16
Bra;84031015;36DD;149,76;64;47,36;9
Bra;14690239;36DD;79,2;55;45,1;8
Bra;92505950;36DD;70,15;61;46,97;5
Bra;66929889;36DD;54,60;65;51,35;4
Bra;45806395;36DD;17,76;37;32,56;4
Pants;79408685;28W/30L;1026,6;59;41,3;58
Pants;36178624;28W/30L;320,76;108;96,12;27
Pants;82938436;28W/30L;440,70;113;96,05;26
Pants;76610344;28W/30L;142,12;44;36,52;19
Pants;33483439;28W/30L;323,76;71;53,96;19
Pants;74566085;28W/30L;212,16;68;50,32;12
Pants;62100070;28W/30L;137,25;61;45,75;9
Pants;54933773;28W/30L;140,16;73;55,48;8
Pants;46703848;28W/30L;199,68;104;79,04;8
Pants;85439784;28W/30L;79,90;94;78,02;5
Pants;25554071;28W/30L;24,75;45;40,05;5
Pants;58841540;28W/30L;0,00;69;52,44;0
Pants;98588822;30W/32L;412,50;75;66,75;50
Pants;94449894;30W/32L;882;100;79;42
Pants;61525798;30W/32L;816,48;81;58,32;36
Pants;77417214;30W/32L;552;80;56;23
Pants;65078750;30W/32L;200,34;53;43,46;21
Pants;16957637;30W/32L;429,40;113;91,53;20
Pants;72358060;30W/32L;269,23;109;94,83;19
Pants;17372102;30W/32L;137,28;66;57,42;16
Pants;82091993;30W/32L;188,76;66;51,48;13
Pants;17009864;30W/32L;136,08;54;42,66;12
Pants;83011317;30W/32L;168,63;73;57,67;11
Pants;59696674;30W/32L;164,78;107;92,02;11
Pants;75560589;30W/32L;91,80;51;41,82;10
Pants;99548287;30W/32L;134,4;60;43,2;8
Pants;48914291;32W/32L;608,0;80;64,8;40
Pants;44499116;32W/32L;480,48;52;37,44;33
Pants;90782199;32W/32L;351,12;57;44,46;28
Pants;67291215;32W/32L;266,64;101;89,89;24
Pants;42840707;32W/32L;327,60;91;77,35;24
Pants;25239101;32W/32L;390,0;65;45,5;20
Pants;50969948;32W/32L;444,60;117;94,77;20
Pants;60391442;32W/32L;257,40;99;86,13;20
Pants;71032979;32W/32L;168,0;50;39,5;16
Pants;23443976;32W/32L;185,50;53;39,75;14
Pants;67409841;32W/32L;247,52;104;86,32;14
Pants;50688180;32W/32L;141,12;98;86,24;12
Pants;37894232;32W/32L;96,8;40;31,2;11
Pants;38521515;32W/32L;151,2;70;53,2;9
Pants;93265523;32W/32L;57,20;65;57,85;8
Pants;90155048;32W/32L;97,85;103;83,43;5
Pants;84600208;32W/32L;70,20;108;93,96;5
Pants;56874535;32W/32L;115;92;69;5
Pants;37908379;32W/32L;42,56;56;45,36;4
Pants;46460699;34W/34L;178,36;49;42,14;26
Pants;28221547;34W/34L;456,96;68;48,96;24
Pants;82798623;34W/34L;297,00;99;84,15;20
Pants;14942177;34W/34L;369,75;75;53,25;17
Pants;96826174;34W/34L;147,0;75;64,5;14
Pants;92154358;34W/34L;165,36;106;92,22;12
Pants;80329518;34W/34L;223,44;98;79,38;12
Pants;13520008;34W/34L;65,55;69;55,89;5
Pants;24878415;34W/34L;66,0;75;58,5;4
Pants;33235068;36W/34L;465,75;115;97,75;27
Pants;93719171;36W/34L;431,25;69;51,75;25
Pants;52963278;36W/34L;407,0;74;55,5;22
Pants;94845186;36W/34L;528,84;113;83,62;18
Pants;11043900;36W/34L;226,78;58;44,66;17
Pants;27964160;36W/34L;278,72;67;49,58;16
Pants;39511542;36W/34L;222,56;107;93,09;16
Pants;13318013;36W/34L;288,75;77;57,75;15
Pants;70548018;36W/34L;234,36;62;45,26;14
Pants;17629964;36W/34L;248,52;109;88,29;12
Pants;79779732;36W/34L;273,6;114;91,2;12
Pants;35992557;36W/34L;215,04;112;85,12;8
Pants;94349729;36W/34L;43,56;99;77,22;2
Pants;57993964;36W/34L;11,27;49;37,73;1
Top;42614786;3XS;96,60;46;39,56;15
Top;30815405;3XS;184,08;59;43,66;12
Top;36226013;3XS;134,90;71;57,51;10
Top;23313150;3XS;50,40;24;18,96;10
Top;40527196;3XS;6;25;22;2
Top;73398529;2XS;247,52;34;24,48;26
Top;64106892;2XS;379,50;69;53,82;25
Top;62180424;2XS;223,2;31;21,7;24
Top;62681678;2XS;164,32;79;68,73;16
Top;53297050;2XS;224,84;73;52,56;11
Top;95968591;2XS;140,76;68;52,36;9
Top;91831460;2XS;69,6;58;40,6;4
Top;47099526;2XS;7,79;41;33,21;1
Top;69482933;2XS;8,55;57;48,45;1
Top;14232187;XXS;346,92;59;51,92;49
Top;12377568;XXS;225,0;50;42,5;30
Top;24909717;XXS;367,08;69;55,89;28
Top;39964973;XXS;87,36;24;17,76;14
Top;36690229;XXS;76,85;53;37,63;5
Top;74599895;XXS;27,30;39;33,54;5
Top;40078403;XXS;74,88;78;59,28;4
Top;68977565;S;372;40;28;31
Top;49738211;S;149,76;24;17,76;24
Top;33170046;S;303,60;55;42,35;24
Top;22373913;S;241,5;70;59,5;23
Top;43290697;S;446,89;67;47,57;23
Top;62629207;S;254,60;67;54,27;20
Top;88656694;S;96,9;30;24,3;17
Top;73180517;S;79,04;38;28,12;8
Top;92176171;M;257,95;67;59,63;35
Top;11166778;M;239,2;40;30,8;26
Top;12935554;M;144,40;76;61,56;10
Top;76037179;M;116,28;68;55,08;9
Top;75604316;M;78,96;47;33,84;6
Top;30325861;L;73,92;22;17,38;16
Top;22041857;L;79,73;67;55,61;7
